"NSC_number","smiles","logp","mol_weight","mol_formula"
755,"SC1=C2C(=NC=N1)[NH]C=N2",0.01,152.1734,"C5H4N4S"
757,"COC1=C2C(=CC(=C1OC)OC)CCC(NC(C)=O)C3=CC(C(=CC=C23)OC)=O",1.03,399.4426,"C22H25NO6"
759,"C2=CC1=C(N=C[NH]1)C=C2",1.32,118.1378,"C7H6N2"
761,"CC(=O)C1=CC=CN=C1",0.43,121.1384,"C7H7NO"
762,"CN(CCCl)CCCl",0.91,156.0546,"C5H11Cl2N"
763,"CS(C)=O",-1.35,78.1288,"C2H6OS"
822,"CCC1=CC=NC=C1",1.65,107.1548,"C7H9N"
836,"CC(C(=O)O)(C(=O)O)C",0.39,132.1158,"C5H8O4"
838,"C2=C[N]1C(=NN=N1)C=C2",-0.09,120.1134,"C5H4N4"
844,"CC(=C)C1CCC(=CC1)C",4.57,136.2364,"C10H16"
848,"CC(C(=O)C(C)(C)C)(C)C",3.0,142.2406,"C9H18O"
858,"[O-][N+](=O)C1=CC=C(CC)C=C1",3.03,151.1646,"C8H9NO2"
890,"N#CC(C)(C)C",1.08,83.1328,"C5H9N"
935,"CC(C(C)=O)(C)C",1.2,100.1602,"C6H12O"
939,"CC(C(C)O)(C)C",1.48,102.176,"C6H14O"
964,"CCC1=CC=CC=N1",1.69,107.1548,"C7H9N"
967,"CCCC1=CC=NC=C1",2.1,121.1816,"C8H11N"
976,"C(/CO)=C/CO",-0.81,88.106,"C4H8O2"
1026,"OC(=O)C1(N)CCCC1",-2.28,129.1584,"C6H11NO2"
1029,"OCCC(C)C",1.16,88.1492,"C5H12O"
1076,"N#CCCCCC",1.66,97.1596,"C6H11N"
1112,"OC(=O)C1CC1",0.63,86.0902,"C4H6O2"
1141,"ClC2=CC=C(C1=CC=C(Cl)C=C1)C=C2",5.23,223.1012,"C12H8Cl2"
1149,"CC(OC1=CC=C(Cl)C=C1)(C(=O)O)C",2.57,214.6481,"C10H11ClO3"
1153,"ClC(=C(C1=CC=C(Cl)C=C1)C2=CC=C(Cl)C=C2)Cl",6.51,318.0292,"C14H8Cl4"
1164,"CCC(C(=O)O)CC",1.68,116.1596,"C6H12O2"
1173,"OCC1=C(C=CC=C1)N",-0.05,123.1542,"C7H9NO"
1258,"OCCOC",-0.77,76.095,"C3H8O2"
1259,"CC(OCCO)C",0.05,104.1486,"C5H12O2"
1312,"[O-][N+](=O)C3=C2C1=C(CCC1=CC=C2)C=C3",3.85,199.2086,"C12H9NO2"
1313,"[O-][N+](=O)C1=C(NC(C)=O)C=CC=C1",1.0,180.1628,"C8H8N2O3"
1314,"CC(NC1=CC(=CC=C1)[N+](=O)[O-])=O",1.47,180.1628,"C8H8N2O3"
1315,"CC(NC1=CC=C([N+](=O)[O-])C=C1)=O",1.66,180.1628,"C8H8N2O3"
1317,"[O-][N+](=O)C1=CC=C(O)C=C1",1.91,139.1104,"C6H5NO3"
1324,"[O-][N+](=O)C2=CC=C(C1=CC=CC=C1)C=C2",3.82,199.2086,"C12H9NO2"
1327,"COC(=O)C1=CC(=CC=C1)[N+](=O)[O-]",1.89,181.1476,"C8H7NO4"
1353,"C1(C(C(OC(C)=O)C(C(O1)OC(C)=O)OC(C)=O)OC(C)=O)COC(C)=O",0.63,390.3432,"C16H22O11"
1390,"OC1=C2C(=NC=N1)[NH]N=C2",-0.55,136.1128,"C5H4N4O"
1469,"O=C2C1=C(C=CC=C1)CO2",0.8,134.1342,"C8H6O2"
1478,"CCCCSC#N",2.03,115.1928,"C5H9NS"
1483,"OC(=O)C1=CC=NC=C1",0.32,123.111,"C6H5NO2"
1489,"CC1=CC=C(N)N=C1",1.02,108.1426,"C6H8N2"
1492,"NC1=C(Cl)C=CC(=C1)Cl",2.75,162.0182,"C6H5Cl2N"
1494,"NC1=C(C)C=CC(=C1)N",0.14,122.1694,"C7H10N2"
1495,"NC1=C(N)C=CC(=C1)C",0.66,122.1694,"C7H10N2"
1498,"O=C(NC1=CC=CC=C1)CCCCC",3.28,191.2724,"C12H17NO"
1511,"CCCCOC(=O)C1=C(O)C=CC=C1",4.63,194.2298,"C11H14O3"
1512,"BrC(CBr)CCl",2.96,236.3335,"C3H5Br2Cl"
1532,"[O-][N+](=O)C1=CC(=CC=C1O)[N+](=O)[O-]",1.67,184.108,"C6H4N2O5"
1533,"C2(=NC1=C(C=CC=C1)C=C2)C4=NC3=CC=CC=C3C=C4",4.31,256.3062,"C18H12N2"
1534,"NC1=C(O)C=CC=C1",0.62,109.1274,"C6H7NO"
1542,"[O-][N+](=O)C1=C(O)C=CC=C1O",1.56,155.1098,"C6H5NO4"
1543,"C1(=CC=CC=C1)NC2=CC=C(O)C=C2",2.82,185.225,"C12H11NO"
1545,"NC1=CC=C(O)C=C1",0.04,109.1274,"C6H7NO"
1546,"NC1=CC(=CC=C1)O",0.21,109.1274,"C6H7NO"
1547,"C1(=CC=CC=C1)C2=C(O)C=CC=C2",3.09,170.2104,"C12H10O"
1549,"CC1=C(C)C=CC(=C1)O",2.23,122.1664,"C8H10O"
1550,"C1=CC(=NC=C1)C2=CC=CC=N2",1.5,156.1866,"C10H8N2"
1551,"[O-][N+](=O)C1=CC(=CC=C1)O",2.0,139.1104,"C6H5NO3"
1552,"[O-][N+](=O)C1=C(O)C=CC=C1",1.79,139.1104,"C6H5NO3"
1557,"ClC1=C(Cl)C(=C(Cl)C=C1Cl)O",4.45,231.8932,"C6H2Cl4O"
1566,"ClC1=C(Cl)C(=C(O)C(=C1Cl)Cl)Cl",5.12,266.3383,"C6HCl5O"
1569,"OC1=C(Cl)C=CC(=C1)O",1.8,144.5573,"C6H5ClO2"
1570,"C(CCC1=C(O)C=C(C=C1)O)CCC",3.45,194.273,"C12H18O2"
1571,"OC1=CC(=CC=C1)O",0.8,110.1122,"C6H6O2"
1572,"OC1=CC(=CC(=C1)O)O",0.16,126.1116,"C6H6O3"
1573,"OC1=C(O)C=CC=C1",0.88,110.1122,"C6H6O2"
1591,"NC(N/N=C/C1=CC=CC=C1)=O",1.27,163.1786,"C8H9N3O"
1616,"CC34C2C(C1C(C)(C(C(C)=O)CC1)CC2)CC=C3CC(O)CC4",4.22,316.4826,"C21H32O2"
1701,"CC(NC1=CC=C(C=O)C=C1)=O",1.25,163.1756,"C9H9NO2"
1767,"CC(C)(C1=CC=C(O)C=C1)C2=CC=C(O)C=C2",3.32,228.2902,"C15H16O2"
1772,"OC(=O)C1=C(O)C(=CC=C1)C",2.86,152.1494,"C8H8O3"
1778,"O=C(/C=C/C=C/C1=CC=CC=C1)O",3.15,174.1988,"C11H10O2"
1784,"CN(C)C1=C(C)C=CC=C1",2.85,135.2084,"C9H13N"
1785,"CN(C)C1=CC=C(C)C=C1",2.81,135.2084,"C9H13N"
1788,"CN(C)C1=CC=CC(=C1)C",2.8,135.2084,"C9H13N"
1803,"CCOC1=CC(=CC=C1O)C=O",1.58,166.1762,"C9H10O3"
1808,"CC(NC(C)C)C",1.4,101.1912,"C6H15N"
1809,"CCOC1=C(C=CC=C1)O",1.68,138.1658,"C8H10O2"
1853,"N#CCCCC1=CC=CC=C1",2.21,145.2036,"C10H11N"
1857,"ClC1=C(Cl)C(=C(Cl)C=C1Cl)Cl",5.17,250.3389,"C6HCl5"
1858,"C1(=CC=CC=C1)C2=CC=C(O)C=C2",3.2,170.2104,"C12H10O"
1864,"OCCOC1=CC=CC=C1",1.16,138.1658,"C8H10O2"
1865,"C1(=CC=CC=C1)OCC(N)=O",0.76,151.1646,"C8H9NO2"
1876,"CC(COC1=CC=CC=C1)=O",1.04,150.1768,"C9H10O2"
1877,"NC(CC1=CC=CC=C1)=O",0.45,135.1652,"C8H9NO"
1883,"[O-][N+](=O)C1=C2C(=CC(=C1)OC)C=CC=N2",1.87,204.1848,"C10H8N2O3"
1887,"O=C(C1=CC=C(C=C1)O)C2=CC=CC=C2",3.07,198.2208,"C13H10O2"
1888,"CC(C)C1=CC=C(O)C=C1",2.9,136.1932,"C9H12O"
1889,"CC1=C(C)C(=C(C)C=C1C)C",4.56,148.2474,"C11H16"
1894,"SCC(=O)O",0.09,92.1124,"C2H4O2S"
1907,"CC(C)C1=CC=C(C(=O)O)C=C1",3.4,164.2036,"C10H12O2"
1913,"CC1OC(=O)OC1",-0.41,102.0896,"C4H6O3"
1938,"S=C1NCCN1",-0.66,102.1538,"C3H6N2S"
1940,"CC(=O)C1CC1",0.49,84.1176,"C5H8O"
1942,"OCC1=CC(=O)C(=CO1)O",-0.64,142.111,"C6H6O4"
1944,"OC(C(C(CO)O)O)C(CO)O",-3.1,182.173,"C6H14O6"
1964,"[NH]2C1=CC=CC=C1C=C2",2.14,117.15,"C8H7N"
1965,"O=C1C3=C(CC2=C1C=CC=C2)C=CC=C3",3.66,194.2324,"C14H10O"
1966,"OC(=O)C1=C(C=CC=C1)C2=C(C(=O)O)C=CC=C2",2.07,242.2306,"C14H10O4"
1979,"NC(CC(=O)O)C1=CC=CC=C1",-1.4,165.1914,"C9H11NO2"
1981,"NC2=C3C(=C1C=CC=CC1=C2)C=CC=C3",3.56,193.2476,"C14H11N"
1992,"O=C(C1=CC=CC=C1)N2CCCCC2",2.2,189.2566,"C12H15NO"
1994,"N#CC1=C(C=CC=C1)[N+](=O)[O-]",1.02,148.1208,"C7H4N2O2"
2013,"C(CCCCCCCCC(=O)O)=C",3.86,184.2778,"C11H20O2"
2014,"C/C(=C\C1=CC=CC=C1)[N+](=O)[O-]",2.52,163.1756,"C9H9NO2"
2020,"NC(=N)C1=CC=CC=C1",0.65,120.1536,"C7H8N2"
2032,"NC2=CC=C(N=NC1=CC=CC=C1)C=C2",3.41,197.239,"C12H11N3"
2037,"C23=C(NC1=CC=CC=C1S2)C=CC=C3",4.15,199.2698,"C12H9NS"
2039,"OC1=C2C(=CC=C1)C=CC=N2",1.85,145.1604,"C9H7NO"
2042,"C(CCCCCCC(=O)O)/C=C/C/C=C/C/C=C/CC",6.46,278.4338,"C18H30O2"
2044,"OC2=CC1=C(C=CC=C1)C=C2",2.7,144.1726,"C10H8O"
2051,"ClC(Cl)=NC1=CC=CC=C1",2.54,174.0292,"C7H5Cl2N"
2066,"O=C1C2=C(N(C)C(N1C)=O)[NH]C=N2",-0.02,180.1658,"C7H8N4O2"
2067,"[O-][N+](=O)C1=CC=C(/C=C/C(=O)O)C=C1",2.12,193.1586,"C9H7NO4"
2068,"CC1=C(C)C(=O)C(=C(C1=O)C)C",2.23,164.2036,"C10H12O2"
2069,"C(=C/C1=CC=CC=C1)/C2=CC=CC=C2",4.81,180.2488,"C14H12"
2070,"O=C(COC2=CC1=C(C=CC=C1)C=C2)O",2.53,202.2092,"C12H10O3"
2074,"CCCCCCCN",2.57,115.218,"C7H17N"
2078,"O=CC1=CC=C(C=C1)Cl",2.1,140.5689,"C7H5ClO"
2082,"[O-][N+](=O)C1=CC(=CC(=C1O)C)[N+](=O)[O-]",2.12,198.1348,"C7H6N2O5"
2083,"OC(=O)C1=C(O)C=C(N)C=C1",0.89,153.1372,"C7H7NO3"
2090,"CCN1CCCCC1",1.75,113.2022,"C7H15N"
2092,"O=C(CCC(=O)O)C1=CC=CC=C1",1.3,178.1872,"C10H10O3"
2098,"BrC2=CC=C(C1=CC=C(C=C1)Br)C=C2",5.72,312.0032,"C12H8Br2"
2102,"N(C1=CC=CC=C1)=NC2=CC=CC=C2",3.82,182.2244,"C12H10N2"
2105,"O=C(NC1=CC=CC=C1)OC(C)C",2.6,179.2182,"C10H13NO2"
2109,"O=C(CC1=CC=C(C=C1)C(=O)O)O",1.24,180.1598,"C9H8O4"
2114,"NC1=C(Cl)C=C(Cl)C=C1Cl",3.52,196.4633,"C6H4Cl3N"
2120,"CC(N)=S",-0.26,75.1282,"C2H5NS"
2122,"NN",-2.07,32.045,"H4N2"
2123,"CC1=C(O)C(=CC=C1)C",2.36,122.1664,"C8H10O"
2127,"O=CC1=CC=C(C=C1)O",1.35,122.1232,"C7H6O2"
2129,"COC1=C(O)C(=CC(=C1)C(=O)O)OC",1.04,198.175,"C9H10O5"
2130,"NC1=NC(=NC(=N1)N)N",-1.37,126.1206,"C3H6N6"
2135,"CC(NC1=CC=C(C=C1)N)=O",0.08,150.1798,"C8H10N2O"
2136,"OC1=C(C=C(C=C1Br)Br)Br",4.13,330.8011,"C6H3Br3O"
2140,"CN(C(C)=O)C1=CC=CC=C1",1.12,149.192,"C9H11NO"
2144,"OCCC1=CC=CC=N1",0.12,123.1542,"C7H9NO"
2150,"O=CC1=C(C(=CC=C1)OC)O",1.37,152.1494,"C8H8O3"
2151,"OCC1=CC=C(OC)C=C1",1.1,138.1658,"C8H10O2"
2155,"CC1=NC(=CC=C1)C",1.68,107.1548,"C7H9N"
2161,"CC(NC1=CC=C(C=C1)I)=O",2.71,261.0618,"C8H8INO"
2163,"NC(=O)C1=CC=C(C)C=C1",1.18,135.1652,"C8H9NO"
2164,"CC(C(C)O)O",-0.92,90.1218,"C4H10O2"
2165,"OC1=C(Cl)C=C(Cl)C=C1Cl",3.69,197.4481,"C6H3Cl3O"
2169,"NC(=O)C1=C(C)C=CC=C1",0.76,135.1652,"C8H9NO"
2170,"NC(=O)C1=CC(=CC=C1)C",1.18,135.1652,"C8H9NO"
2177,"C1(=CC=CC(=C1)C)NC(N)=O",1.29,150.1798,"C8H10N2O"
2184,"OC(=O)C1=C(S)C=CC=C1",2.39,154.1832,"C7H6O2S"
2185,"O=S(N)(=O)C1=C(C)C=CC=C1",0.84,171.2136,"C7H9NO2S"
2189,"BrC(CO)(Br)Br",2.1,282.7571,"C2H3Br3O"
2192,"CCCCCCC(=O)O",2.42,130.1864,"C7H14O2"
2193,"OC(=O)C1=C(C)C=CC=C1",2.46,136.15,"C8H8O2"
2207,"CC(OC(C)=O)COC",0.56,132.159,"C6H12O3"
2210,"CC(CC)C1=CC=C(O)C=C1",3.08,150.22,"C10H14O"
2214,"OC(=O)C1=CC(=CC=C1)C",2.37,136.15,"C8H8O2"
2215,"OC(=O)C1=CC=C(C)C=C1",2.27,136.15,"C8H8O2"
2218,"COC1=C(C=C(C=C1Br)Br)Br",4.48,344.8279,"C7H5Br3O"
2220,"CC(CCCCC)O",2.31,116.2028,"C7H16O"
2223,"O=S(NC)(=O)C1=CC=C(C)C=C1",1.28,185.2404,"C8H11NO2S"
2228,"CC(C)C1=CC(C(=CC1=O)C)=O",2.2,164.2036,"C10H12O2"
2266,"ClC1=C(Cl)C=C(O)C(=C1)Cl",3.72,197.4481,"C6H3Cl3O"
2271,"NNC(C)=O",-1.58,74.0822,"C2H6N2O"
2305,"O=C1CCCCN1",-0.46,99.1322,"C5H9NO"
2351,"O=C(COC1=C(C=C(Cl)C=C1)C)O",3.25,200.6213,"C9H9ClO3"
2359,"O=C1N(C(=O)CC1)C2=CC=CC=C2",0.06,175.1866,"C10H9NO2"
2440,"CC(=O)C1=CC(=CC=C1)O",1.39,136.15,"C8H8O2"
2480,"CN1CCCCC1",1.3,99.1754,"C6H13N"
2547,"C(/[N+](=O)[O-])=C/C1=CC=C(Cl)C=C1",2.44,183.5939,"C8H6ClNO2"
2573,"OC(C(C(C=O)O)O)C(CO)O",-1.88,180.1572,"C6H12O6"
2580,"N(C(=S)C1=CC=CC=C1)C2=CC=CC=C2",3.03,213.2966,"C13H11NS"
2583,"C=CCC#N",0.4,67.0902,"C4H5N"
2585,"[O-][N+](=O)C1=CC(=C(O)C(=C1)Br)Br",3.57,296.9026,"C6H3Br2NO3"
2586,"OC(CCCC)CC",2.24,116.2028,"C7H16O"
2588,"C(CCCl)#N",0.18,89.5243,"C3H4ClN"
2590,"CCCCCCN",2.06,101.1912,"C6H15N"
2596,"CCCCCC=O",1.78,100.1602,"C6H12O"
2597,"C(CNC(N)=O)CC",0.41,116.1626,"C5H12N2O"
2599,"CC1=C(O)C=C(C=C1)C",2.33,122.1664,"C8H10O"
2619,"N(S(=O)(=O)C1=CC=C(N)C=C1)C2=CC=CC=C2",1.55,248.299,"C12H12N2O2S"
2622,"C1(=CC=CC=C1)NC2=C3C(=CC=C2)C=CC=C3",4.2,219.2854,"C16H13N"
2626,"CCCOC(=O)C1=CC(=C(O)C(=C1)O)O",1.8,212.2018,"C10H12O5"
2628,"C1(=CC=CC=C1)N2CCOCC2",1.36,163.2188,"C10H13NO"
2633,"CC(OC1=CC=C([N+](=O)[O-])C=C1)=O",1.5,181.1476,"C8H7NO4"
2654,"ClC(C(=O)O)Cl",0.92,128.9426,"C2H2Cl2O2"
2671,"CCP(=O)(OCC)OCC",0.66,166.1565,"C6H15O3P"
2677,"P(=O)(OCC)(OCC)OCC",0.8,182.1559,"C6H15O4P"
2679,"CC(CC(C)=O)=O",0.4,100.117,"C5H8O2"
2689,"S(C1=CC=CC=C1)SC2=CC=CC=C2",4.41,218.331,"C12H10S2"
2749,"FS(=O)(=O)C1=CC=C(C)C=C1",2.74,174.1895,"C7H7FO2S"
2752,"C(/C=C/C(=O)O)(=O)O",0.46,116.0732,"C4H4O4"
2763,"NC(NNC1=CC=CC=C1)=O",0.13,151.1676,"C7H9N3O"
2769,"O=C1N(C(=O)C2=C1C=CC=C2)C3=CC=CC=C3",2.4,223.2306,"C14H9NO2"
2781,"C1(=CC=CC=C1)NC(N)=O",0.83,136.153,"C7H8N2O"
2789,"OC(=O)C1=C(O)C=CC(=C1)I",3.34,264.0192,"C7H5IO3"
2800,"CC45C(C3(C)C(C(C)(C)C(OC1C(C(O)C(O)C(O1)C(=O)O)OC2OC(C(O)=O)C(O)C(C2O)O)CC3)CC4)C(=O)C=C6C5(C)CCC7(C6CC(C(=O)O)(C)CC7)C",2.8,822.9422,"C42H62O16"
2801,"O=C2C1=C(C=C(C=C1O)O)OC(C2O)C3=CC=C(C(=C3)O)O",0.95,304.2556,"C15H12O7"
2806,"C1(C=C(C(=O)C=C1)C2=CC=CC=C2)=O",1.95,184.194,"C12H8O2"
2819,"OC2C(OC1=CC(=CC(=C1C2)O)O)C3=CC=C(C(=C3)O)O",0.51,290.272,"C15H14O6"
2821,"C(=C/C(=O)O)/C1=CC(=C(O)C=C1)OC",1.51,194.1866,"C10H10O4"
2829,"OC1=C(OC=CC1=O)C",0.09,126.1116,"C6H6O3"
2830,"OC(C(=O)O)(C1=CC=CC=C1)C2=CC=CC=C2",2.3,228.247,"C14H12O3"
2834,"CCC(=O)C1=CC=C(O)C=C1",2.03,150.1768,"C9H10O2"
2849,"CC(OC(CCl)C)CCl",2.48,171.0662,"C6H12Cl2O"
2851,"CC1=C(O)C=CC(=C1)Cl",2.63,142.5847,"C7H7ClO"
2869,"BrCCO",0.23,124.9649,"C2H5BrO"
2870,"OC1=C(Cl)C=CC=C1",2.15,128.5579,"C6H5ClO"
2877,"OC1=CC=C(Cl)C=C1",2.39,128.5579,"C6H5ClO"
2878,"CC1=C(O)C(=CC=C1)Cl",2.8,142.5847,"C7H7ClO"
2879,"OC1=C(Cl)C=C(C=C1)Cl",3.06,163.003,"C6H4Cl2O"
2902,"NC(=O)C1=CC=C([N+](=O)[O-])C=C1",0.82,166.136,"C7H6N2O3"
2916,"NCC(=O)O",-3.21,75.067,"C2H5NO2"
2925,"O=C(COC1=C(C=C(Cl)C=C1)Cl)O",2.81,221.0396,"C8H6Cl2O3"
3018,"C2(C1=CC=CC=C1)CC2",3.27,118.178,"C9H10"
3039,"O=C(CC1=CC=CC=C1)O",1.41,136.15,"C8H8O2"
3051,"CNC=O",-0.97,59.0676,"C2H5NO"
3054,"COC(N)=O",-0.66,75.067,"C2H5NO2"
3055,"[N]4(C1C(O)C(C(O1)CO)NC(C(CC2=CC=C(OC)C=C2)N)=O)C3=NC=NC(=C3N=C4)N(C)C",0.03,471.515,"C22H29N7O5"
3058,"N2=NC1=CC=CC=C1[NH]2",1.44,119.1256,"C6H5N3"
3061,"CCC1=C(C(=NC(=N1)N)N)C2=CC=C(Cl)C=C2",2.69,248.7145,"C12H13ClN4"
3069,"OC(C(NC(C(Cl)Cl)=O)CO)C1=CC=C([N+](=O)[O-])C=C1",1.14,323.1322,"C11H12Cl2N2O5"
3070,"CC/C(=C(\CC)C1=CC=C(O)C=C1)C2=CC=C(O)C=C2",5.07,268.3548,"C18H20O2"
3096,"COC1=C2C(=CC(=C1OC)OC)CCC(C3=CC(C(=CC=C23)OC)=O)NC",1.37,371.4322,"C21H25NO5"
